city,station,year,annual_avg,source_url,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
Дата последнего обновления: Абакан,2.0,2009,3.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.6,4.1,3.8,3.4,2.3,2.1,0.7,1.4,1.5,2.0,2.2,6.9
15 марта 2010 Абакан,3.0,2009,3.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,5.2,4.7,4.5,2.8,2.3,1.0,1.2,1.0,1.6,3.0,10.5
Азов,2.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.2,2.4,2.0,1.9,1.2,1.4,0.8,0.6,0.7,1.0,3.3,3.5
Ачинск,3.0,2009,3.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.6,4.1,3.4,2.0,2.3,2.0,3.7,1.7,1.5,1.6,2.6,5.2
Ачинск,4.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.0,3.6,3.0,2.5,2.7,2.5,3.3,1.5,1.5,2.0,4.9,5.0
Байкальск,48.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.2,2.4,1.9,1.2,1.0,0.6,0.7,0.4,1.0,2.0,2.6
Балаково,5.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.8,3.5,2.6,2.3,1.0,0.8,0.4,0.3,0.7,1.3,1.5,2.8
Барнаул,1.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.1,5.2,4.3,2.6,3.0,1.7,3.0,1.6,1.5,1.8,2.0,4.8
Барнаул,13.0,2009,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.3,3.9,4.0,2.2,1.8,1.2,2.0,0.7,1.3,1.6,1.8,4.5
Бердск,7.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.2,2.0,1.8,0.8,1.1,0.5,0.6,1.1,2.5,2.9,3.2
Бийск,11.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.0,2.5,1.7,1.0,0.9,0.8,0.4,0.7,1.4,1.6,2.8
Биробиджан,1.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.2,2.0,2.5,1.5,0.9,0.6,0.4,1.0,1.2,1.7,5.3
Братск,2.0,2009,3.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.0,2.7,4.3,4.3,2.5,2.4,0.6,0.8,0.7,3.3,3.8,4.0
Братск,11.0,2009,4.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.8,6.6,4.6,4.8,2.8,3.0,1.5,1.1,4.6,3.5,8.0,10.8
Брянск,2.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,2.5,2.2,1.8,1.4,0.8,0.6,1.0,0.9,1.2,1.8,2.6
Владивосток,1.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.6,3.6,4.1,2.5,1.8,1.2,0.4,2.0,1.8,1.9,2.5,3.5
Владивосток,6.0,2009,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,4.6,3.7,2.0,1.5,1.6,1.1,1.2,1.4,1.6,2.1,4.7
Владикавказ,1.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.0,1.8,1.5,1.1,0.8,0.4,0.5,0.6,1.2,1.6,2.2
Владимир,1.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.2,1.5,1.2,1.0,0.8,0.4,0.5,0.6,0.9,1.4,2.0
Владимир,4.0,2009,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.6,1.9,1.5,1.3,1.2,0.6,0.3,0.5,0.5,0.6,1.3,1.8
Волгоград,35.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.9,3.2,2.0,1.8,1.4,0.9,0.6,0.4,1.0,1.4,1.7,2.6
Волгодонск,4.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.5,3.0,2.0,1.8,0.8,0.5,0.4,0.3,0.4,1.0,1.8,3.0
Волгореченск,1.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,3.0,2.0,1.5,1.4,0.9,0.4,0.5,1.1,1.2,1.5,2.3
Вологда,2.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.4,3.4,2.5,2.0,1.2,0.9,0.4,1.3,1.6,1.7,2.8,3.5
Воркута,3.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.5,3.1,2.3,1.8,1.1,1.0,0.6,0.5,1.2,1.5,1.7,2.0
Воронеж,1.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,3.0,1.8,1.5,1.4,1.2,1.5,0.7,0.8,1.2,1.5,2.5
Воронеж,7.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.0,2.2,1.5,1.3,1.2,1.3,1.7,0.8,1.1,1.5,2.0,2.8
Воскресенск,1.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,3.2,2.1,1.5,1.2,0.6,0.6,0.8,0.6,1.1,1.4,1.8
Губкин,1.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.5,2.4,1.5,1.0,3.0,0.6,0.5,1.4,1.2,1.5,2.0
Губкин,3.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,1.6,2.3,1.8,3.0,0.7,0.6,0.7,1.0,1.8,2.2
Дзержинск,1.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.8,4.1,3.0,2.4,1.7,1.1,0.4,1.3,0.8,1.0,2.0,2.5
Дзержинск,2.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.3,4.0,2.5,1.8,1.4,1.5,0.9,0.6,1.0,1.1,1.8,2.8
Зима,1.0,2009,3.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,9.2,5.5,3.6,3.0,2.0,1.2,0.6,0.5,1.6,1.9,3.5,10.2
Зима,2.0,2009,5.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,11.0,10.0,6.0,4.5,2.5,1.6,1.7,1.1,2.3,2.4,4.8,12.0
Иваново,1.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,3.0,2.1,2.2,2.0,1.7,1.8,2.2,2.2,1.4,2.5,2.0
Ижевск,6.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.5,3.2,2.6,1.6,1.5,1.0,0.9,1.1,1.2,1.5,4.7,5.0
Иркутск,3.0,2009,4.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,8.8,5.5,4.0,3.6,2.6,1.5,1.8,2.2,3.3,2.6,6.6,11.0
Искитим,1.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,8.3,7.7,4.0,3.5,1.8,1.0,0.9,1.4,1.3,2.3,2.3,3.5
Казань,3.0,2009,2.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.0,4.6,3.3,3.0,2.5,1.8,1.0,0.8,1.4,1.8,2.2,4.9
Казань,4.0,2009,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,2.9,2.2,2.5,2.3,2.0,1.7,1.2,2.1,1.6,2.6,5.1
Казань,5.0,2009,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.5,4.9,3.5,3.2,3.0,1.8,1.7,1.1,1.9,1.5,1.9,3.0
Казань,6.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.0,2.0,1.5,2.0,1.6,0.9,0.7,0.5,0.6,1.0,1.5,2.2
Казань,7.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.5,2.9,1.8,1.6,2.3,2.2,0.9,1.3,1.5,1.9,2.7,3.2
Казань,8.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,3.0,2.0,1.5,1.3,0.7,0.9,1.0,0.6,1.1,1.9,4.2
Калуга,2.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.5,2.0,1.8,1.6,1.3,1.1,0.4,0.5,0.5,0.8,1.5,2.0
Канск,1.0,2009,2.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.0,4.8,3.8,2.3,2.2,1.8,0.5,0.8,0.9,1.6,3.5,6.0
Кемерово,1.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.4,3.7,3.0,2.4,2.2,0.9,0.4,0.8,2.2,3.4,2.5,4.9
Кемерово,10.0,2009,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.0,4.2,3.5,2.8,2.3,1.0,1.0,1.0,1.4,2.2,2.6,5.2
Кемерово,20.0,2009,3.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.6,6.1,4.2,3.0,2.6,1.2,0.5,1.0,1.4,3.2,6.0,5.7
Кириши,4.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,2.5,1.7,1.3,2.5,2.0,0.7,0.4,3.0,2.2,2.6,3.8
Кириши,6.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.4,1.5,1.1,0.9,1.0,0.5,0.5,0.6,1.0,1.5,2.0
Киров,1.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.8,2.1,1.4,1.0,0.6,0.4,0.4,0.7,1.2,1.5,2.7
Кирово­Чепецк,1.0,2009,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.2,2.5,3.0,1.2,1.4,0.6,1.5,2.0,1.8,3.9,3.8
Клин,3.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.7,2.5,1.8,1.7,1.3,0.6,0.3,0.6,0.8,1.1,1.5,1.8
Коломна,5.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.4,3.3,2.0,1.5,1.2,1.1,0.6,0.8,1.4,1.5,1.7,2.0
Кострома,3.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.7,1.6,1.2,0.9,0.5,0.8,0.7,1.4,1.4,1.9,2.5
Краснодар,9.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.7,2.5,2.1,1.6,1.2,0.9,0.5,1.1,1.2,1.4,1.8,3.0
Красноярск,3.0,2009,5.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.5,9.0,5.4,5.1,3.8,3.6,3.0,2.9,4.0,6.4,8.8,10.0
Красноярск,5.0,2009,4.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.8,7.5,7.2,5.4,2.8,2.7,2.0,1.9,2.2,2.4,4.7,7.2
Красноярск,7.0,2009,4.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.9,7.2,6.3,5.0,2.0,2.5,2.1,2.3,3.3,4.4,6.0,10.4
Красноярск,8.0,2009,5.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.2,7.7,7.6,5.9,3.2,3.0,2.4,3.1,2.3,5.9,8.0,9.7
Кстово,1.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.7,3.3,2.0,1.5,0.8,1.2,0.4,0.8,0.8,2.0,2.5,3.0
Кувандик,2.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.5,2.2,1.8,1.2,1.0,0.9,0.5,0.5,2.0,1.5,1.7,2.6
Курск,3.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,2.3,1.8,1.3,0.9,1.1,0.5,0.4,0.6,1.8,1.9,2.7
Курск,15.0,2009,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,2.0,1.5,1.2,0.8,0.7,0.4,0.3,0.4,1.3,1.5,2.2
Кызыл,2.0,2009,5.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.2,9.0,6.2,5.7,1.9,2.0,1.8,2.0,5.1,3.9,5.8,10.2
Липецк,3.0,2009,2.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.6,2.8,2.3,2.0,1.2,0.5,0.9,1.2,2.0,2.8,3.8
Липецк,6.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.7,2.3,1.8,2.0,1.7,1.3,1.0,1.4,1.5,1.2,1.8,2.8
Липецк,8.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,1.8,1.6,1.5,1.2,0.8,0.7,0.5,0.9,1.0,1.5,2.6
Магадан,2.0,2009,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.8,4.0,3.2,2.6,3.0,2.7,1.1,1.4,1.5,2.2,2.7,4.2
Медногорск,3.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,1.6,1.0,0.9,0.8,0.6,1.0,0.6,2.0,2.8,3.2,2.5
Мин. Воды,1.0,2009,1.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.0,1.5,1.3,1.0,0.8,0.6,0.3,0.3,0.4,1.0,1.5,1.8
Минусинск,2.0,2009,4.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,13.0,9.0,6.3,4.4,3.3,1.6,0.9,1.6,1.7,2.8,8.0,12.0
Москва,2.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.3,2.2,1.8,1.6,1.0,0.8,0.5,0.3,0.7,0.9,1.3,1.8
Москва,18.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.1,3.2,2.2,1.7,1.6,0.8,0.7,0.6,0.8,1.0,1.7,2.8
Москва,20.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.6,3.4,2.8,1.9,1.3,1.4,0.6,1.4,0.8,0.9,1.4,2.0
Москва,21.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.0,2.9,2.5,2.2,1.2,0.5,0.6,0.7,1.1,1.2,1.6,2.2
Москва,34.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.5,4.7,2.7,2.4,1.4,1.5,0.5,0.6,0.7,1.1,1.5,3.0
Мытищи,1.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.4,2.3,1.8,1.6,1.5,3.0,0.5,2.1,1.8,1.9,2.0
Набережные Челны,1.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.4,3.0,2.0,1.6,1.5,1.4,0.6,0.8,1.0,1.3,1.6,2.5
Набережные Челны,2.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.9,4.5,3.2,2.5,2.0,1.2,0.7,0.5,0.7,1.1,2.2,3.0
Надвоицы,2.0,2009,3.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.8,3.7,3.9,2.0,5.0,2.8,3.0,2.3,2.1,2.5,3.0,4.8
Назарово,1.0,2009,2.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.7,5.0,4.0,1.8,2.2,2.0,1.0,1.5,2.3,2.4,2.6,3.5
Назарово,2.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.2,6.0,4.6,1.4,1.5,1.2,1.3,2.6,2.0,3.2,4.7,4.2
Нерюнгри,3.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.4,2.2,1.2,1.4,0.7,0.9,0.9,0.7,1.0,1.8,2.5
Нижнекамск,1.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.9,3.5,2.0,2.2,1.4,1.1,0.6,0.8,0.9,1.4,2.8,4.0
Новокузнецк,2.0,2009,3.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.0,6.0,3.7,3.0,1.5,1.0,1.8,2.8,2.0,5.0,6.2,4.0
Новокузнецк,10.0,2009,5.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.7,6.3,4.2,3.4,4.0,2.5,3.6,4.0,4.7,5.0,7.0,9.8
Новокузнецк,18.0,2009,5.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.6,7.0,5.0,4.7,4.6,3.5,2.8,2.4,3.8,7.3,6.4,7.2
Новокуйбышевск,1.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.7,2.2,2.0,1.1,0.9,0.5,0.4,0.5,0.8,1.5,2.2
Новокуйбышевск,4.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,1.8,1.8,1.4,1.0,0.6,0.3,0.4,1.5,1.7,2.1
Новомосковск,2.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,2.3,2.0,1.6,1.4,0.6,0.7,0.8,1.0,1.4,1.6,2.2
Новосибирск,1.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.2,4.0,2.5,2.4,1.5,1.0,1.4,1.3,1.4,1.6,2.5,3.4
Новосибирск,21.0,2009,2.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,4.5,3.3,2.8,4.0,1.3,1.3,1.5,2.3,2.5,3.4,4.0
Новосибирск,25.0,2009,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.2,2.0,3.0,4.6,0.7,1.5,0.9,1.4,2.1,3.0,3.8
Новочебоксарск,1.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.3,3.0,2.5,1.3,1.0,0.6,0.4,1.0,0.8,1.0,3.4,3.9
Норильск,3.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.6,2.2,1.6,1.2,1.2,0.6,1.1,0.6,1.1,1.3,1.8,2.0
Омск,7.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.6,2.2,1.9,1.5,1.1,0.5,0.9,1.6,1.4,2.3,3.1
Омск,26.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.7,3.6,2.8,2.1,1.7,2.9,0.7,0.9,1.4,2.2,4.2,4.5
Омск,27.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.5,4.2,3.7,3.0,2.0,1.2,0.5,0.6,1.6,3.1,3.2,3.6
Орел,3.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.2,2.8,2.6,1.5,1.1,1.0,0.6,1.2,1.5,1.7,2.7
Оренбург,2.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.6,2.4,1.5,1.1,0.9,0.4,0.5,1.1,2.3,2.8,3.1
Оренбург,6.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,2.0,1.8,1.2,0.7,0.7,0.7,0.6,0.9,1.6,2.0,2.5
Орск,4.0,2009,1.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.0,1.8,1.2,1.0,0.6,0.5,0.4,0.2,0.4,0.9,1.6,2.0
Орск,5.0,2009,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,1.5,1.2,0.8,0.7,0.4,0.2,0.3,0.4,1.2,3.1
Пенза,3.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,2.4,1.8,1.3,1.0,0.6,0.3,1.0,0.8,1.2,1.5,2.6
Петрозаводск,3.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.5,2.3,1.8,1.2,1.3,1.1,0.4,1.0,1.5,4.0,2.7
Подольск,1.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.1,2.7,1.8,1.7,1.6,1.4,0.6,0.8,1.2,1.4,1.6,2.0
Прокопьевск,5.0,2009,2.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.4,3.7,3.0,1.6,1.4,0.6,0.5,0.8,1.5,3.4,3.9
Псков,3.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,1.9,2.0,1.6,1.3,1.0,1.5,0.5,0.3,0.5,1.0,2.0,2.4
Пятигорск,1.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,1.5,1.0,0.9,0.8,0.5,0.2,0.2,0.9,1.2,1.5,1.8
Ростов­на­Дону,52.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,3.0,2.6,2.5,1.6,1.0,1.3,2.3,1.2,1.3,2.5,3.1
Ростов­на­Дону,55.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.6,3.3,2.3,1.5,1.0,0.8,0.4,0.5,0.9,1.2,2.8,3.5
Рязань,3.0,2009,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,2.9,2.4,2.2,2.0,1.7,0.5,0.7,1.8,2.0,5.1,8.0
Рязань,6.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.6,1.8,2.1,1.7,1.5,1.4,0.8,0.9,1.0,1.2,1.7,2.0
Салехард,1.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,3.0,2.2,2.0,1.5,1.4,0.5,0.4,0.6,1.5,1.8,2.2
Самара,7.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.8,2.2,1.8,1.9,1.2,0.7,0.7,2.1,1.0,1.6,2.0
Самара,8.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.5,2.2,1.5,1.3,1.4,1.1,0.8,0.5,0.8,0.9,1.8,2.3
Самара,11.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.1,3.2,2.0,1.6,1.7,1.5,0.6,0.4,0.7,0.8,1.9,3.4
